Aamil,Elita,AamilElita24@hmail.ca,gold,186.95
Abu,Llewellyn,AbuLlewellyn26@coldmail.com,prime,264.33
Adolfo,Shamus,AdolfoShamus91@hmail.ca,gold,148.68
Aften,Emmaline,AftenEmmaline62@hmail.ca,prime,-55.40
Agatha,Perfecto,AgathaPerfecto64@coldmail.com,prime,189.96
Ajeenah,Niclole,AjeenahNiclole39@coldmail.com,prime,47.13
Akisha,Athanasios,AkishaAthanasios29@coldmail.com,basic,0.00
Akua,Donnamarie,AkuaDonnamarie25@coldmail.com,basic,0.00
Alaya,Dominic,AlayaDominic88@hmail.ca,prime,-75.72
Aleena,Naiya,AleenaNaiya42@hmail.ca,gold,154.66
Alesia,Julissa,AlesiaJulissa69@hmail.ca,gold,237.78
Alexys,Zebariah,AlexysZebariah45@coldmail.com,prime,62.32
Alizabeth,Carnell,AlizabethCarnell59@coldmail.com,gold,92.77
Alyson,Ceddrick,AlysonCeddrick28@hmail.ca,basic,0.00
Amarilis,Lacey,AmarilisLacey99@hmail.ca,prime,-5.69
Amatullah,Stefan,AmatullahStefan39@coldmail.com,basic,0.00
Ambar,Joyelle,AmbarJoyelle48@hmail.ca,gold,197.93
Amberdawn,Jojo,AmberdawnJojo87@coldmail.com,basic,0.00
Ameisha,Dalesia,AmeishaDalesia57@hmail.ca,prime,172.52
Amera,Rikita,AmeraRikita26@hmail.ca,basic,0.00
Ami,Rilee,AmiRilee97@coldmail.com,basic,0.00
Anacani,Christeen,AnacaniChristeen51@hmail.ca,prime,-43.38
Andren,Asucena,AndrenAsucena12@coldmail.com,basic,0.00
Andrika,Porshea,AndrikaPorshea38@hmail.ca,gold,45.24
Angellica,Eliot,AngellicaEliot05@coldmail.com,prime,290.33
Anibal,Sherrilyn,AnibalSherrilyn77@hmail.ca,basic,0.00
Anisa,Diondre,AnisaDiondre46@hmail.ca,gold,77.32
Anjuli,Chauntay,AnjuliChauntay86@coldmail.com,prime,178.59
Annel,Keturah,AnnelKeturah58@hmail.ca,gold,143.60
Anorea,Neda,AnoreaNeda09@coldmail.com,basic,0.00
Antoinne,Anton,AntoinneAnton74@coldmail.com,prime,122.24
Antonea,Amana,AntoneaAmana43@coldmail.com,gold,172.36
Antoniette,Tashana,AntonietteTashana13@coldmail.com,prime,52.28
Antonique,Jaida,AntoniqueJaida80@hmail.ca,prime,249.85
Apphia,Tiauna,ApphiaTiauna38@coldmail.com,basic,0.00
Arissa,Brette,ArissaBrette93@hmail.ca,prime,1.07
Arista,Erendira,AristaErendira22@coldmail.com,prime,48.62
Arlen,Timekia,ArlenTimekia26@coldmail.com,basic,0.00
Armond,Tonny,ArmondTonny51@hmail.ca,gold,82.95
Arnel,Elke,ArnelElke53@hmail.ca,basic,0.00
Arno,Delance,ArnoDelance32@coldmail.com,prime,3.30
Artesha,Lynzee,ArteshaLynzee32@coldmail.com,gold,231.88
Aryana,Sana,AryanaSana57@coldmail.com,basic,0.00
Ashia,Asley,AshiaAsley64@coldmail.com,prime,-86.93
